ID,Context,Source,comments,DE,ES,FR,garbled,JA,lengthened,PT,RU,ZH-Hans
TXT_MainMenu_Buttons_Difficulty_super_description,Frontend,"You are an AI that surpasses humans in every way, which has also caused you to rightfully develop a superiority complex. You need to be challenged with a truly hostile environment. So the cost and time of construction, and building deterioration will be high. Resources will be scarce, and you will recover fewer resources when scrapping buildings.",,"Du bist eine KI, die dem Menschen in vielerlei Hinsicht überlegen ist, wodurch du jedoch einen Überlegenheitskomplex entwickelt hast. Du benötigst die Herausforderung durch eine wirklich feindselige Umgebung. Daher sind die Baukosten und Bauzeit für dich hoch. Ressourcen sind knapp und du erhältst weniger Ressourcen zurück, wenn du Gebäude verschrottest.","Una IA que supera a los humanos en todos los sentidos, y con un legítimo complejo de superioridad. Que necesita enfrentarse al desafío de un entorno verdaderamente hostil. Por lo tanto, el costo y el tiempo de construcción, así como velocidad de deterioro de las construcciones serán altos. Los recursos serán escasos y recuperarás menos recursos al reciclar edificios.","Vous êtes une intelligence artificielle surpassant les humains sur tous les plans, tant et si bien que vous avez fini par développer un complexe de supériorité manifeste. Seuls les environnements vraiment difficiles vous intéressent. Le coût et le temps de construction des bâtiments augmentent, de même que la vitesse à laquelle ils se détériorent. Les ressources naturelles sont plus rares, et vous en récupérez moins que d'habitude en détruisant les bâtiments.",,あなたは、ありとあらゆる面で人間を超えたAIです。このことから、優越感が芽生えているため、あなたは極めて冷酷な環境に晒される必要があります。そこで、建設コストと時間は大きくかかり、施設の劣化も激しくなります。資源は不足し、施設を取り壊した時に得られる資源も少なくなります。,,"Você é uma IA que ultrapassa os humanos de todas as formas, o que fez você desenvolver um merecido complexo de superioridade. Você precisa do desafio de um ambiente verdadeiramente hostil. Por isso, o tempo e os custos de construção serão altos e a deterioração de estruturas será alta. Os recursos serão escassos e você recuperará menos deles ao demolir estruturas.","Вы – искусственный интеллект, во всём превосходящий людей, и потому вполне заслуженно страдаете от комплекса собственного превосходства. Вас необходимо стимулировать, ставя в поистине не располагающие к этому условия работы. Затраты стройматериалов и времени на возведение построек будут увеличены, количество природных ресурсов ограничено, а деконструкция зданий будет приносить меньше материалов.",你是人工智能，各个方面全面超越人类，因而产生了某种优越感。你渴望面对真正恶劣的环境，希望从中获得成就感，所以建筑的施工成本与用时均有所增加，建筑的耗损速度也相应加快。自然资源稀少，拆除建筑能够回收的资源也相对更少。
TXT_MainMenu_Buttons_Exit,Frontend,Exit,,Verlassen,Salir,Sortir,Ex�s,終了,ExitX,Sair,Выйти,退 出
TXT_MainMenu_Buttons_Press_Any,Frontend,Press Any Key,,Beliebige Taste drücken,Aprieta Una Tecla,Appuyer sur une touche,,キーを押してください,,Pressione qualquer tecla,Нажмите любую кнопку,按任意键继续
TXT_MainMenu_Disclaimer,Frontend,"Welcome to the Per Aspera's Demo.<br>The complete release features a full campaign of humanity's thrilling conquest of Mars. This demo provides a sneak peek into the simulation aspects of Per Aspera. Please visit our Steam page to get the latest updates, discuss your experience, and most importantly, hit that wishlist button!",,"Willkommen bei der Per Aspera Simulation Demo.<br>Die Vollversion des Spiels umfasst eine vollständige Kampagne über die spannende Eroberung des Mars durch den Menschen. Diese Demoversion bietet einen ersten Einblick in den Simulationsteil von Per Aspera. Bitte besuche unsere Steam-Seite, um mehr über die neuesten Updates zu erfahren, deine Erfahrungen mit anderen zu teilen und natürlich solltest du nicht vergessen, das Spiel auf deine Wunschliste zu setzen!","Bienvenidos a la demostración de Per Aspera.<br>El lanzamiento completo presentará una modo de campaña con la emocionantre conquista de Marte por parte de la la raza humana. Esta demostración ofrece a penas un adelanto de los aspectos básicos de Per Aspera. Visita nuestra página de Steam para obtener las últimas actualizaciones, comentarnos tu experiencia y, lo más importante, ¡agregarnos a lista de deseos!","Bienvenue dans la démo de simulation de Per Aspera.<br> Le jeu complet comprend une campagne détaillant la conquête de Mars par l'humanité. Cette démo vous offre un avant-goût de certains aspects de Per Aspera. N'hésitez pas à vous rendre sur notre page Steam pour suivre l'actualité du jeu, nous dire ce que vous en pensez, et surtout, le mettre dans votre liste de souhaits !",,Per Asperaシミュレーションデモへようこそ。<br>最後まで楽しめる製品版では、ヒトが悪戦苦闘しながら火星を開発してゆく様子を描いたキャンペーンを収録しています。このデモ版では先行公開として、Per Asperaの一要素であるシミュレーションをお楽しみいただけます。最新のアップデートのチェック、遊んでみた感想の投稿、そしてなにより大事なこととして、ウィッシュリストのボタンを押していただけるよう、Steamのページまでぜひお越しください！,,"Boas-vindas. Esta é a Demonstração de Simulação de Per Aspera.<br> O jogo completo inclui uma campanha integral detalhando a emocionante conquista de Marte pela humanidade. Esta demonstração é uma prévia das mecânicas de simulação de Per Aspera. Visite nossa página da Steam para saber das novidades, discutir sua experiência e, o mais importante, nos colocar na lista de desejos!","Добро пожаловать в демо-версию Per Aspera.<br> Полноценная версия игры будет включать в себя увлекательную сюжетную кампанию о покорении Марса. Данный симулятор – лишь небольшой аспект разнопланового игрового процесса Per Aspera. Посетите нашу страничку в Steam, чтобы узнать последние новости об игре, обсудить то, насколько вам понравилась демо-версия, и – самое главное – добавить Per Aspera в свой список желаемого!",欢迎体验《繁星苦旅》模拟玩法的试玩版本。<br>游戏的完整版本还将包括剧情模式，讲述人类征服火星这一惊心动魄的故事。本试玩版本包含游戏模拟模式的部分内容，可以一瞥这一玩法的大致形式。我们的Steam页面会定期发布游戏的最新动态，欢迎前来查看、分享你们的想法，最重要的是，记得点击愿望单按钮！
TXT_MainMenu_Demo_Intro,Frontend,"This demo provides a taste of the story, and will guide you through the first steps into building your own small colony on the red planet while dealing with the harshness of the environment.<br><br>Visit our Steam page to purchase the full version of the game, and share your experience with thousands of players.",,"Diese Demoversion gewährt dir einen kleinen Einblick in die Geschichte und führt dich durch die ersten Schritte im Bau einer kleinen Kolonie auf dem roten Planeten, während du gleichzeitig die Widrigkeiten der Umgebung meistern musst.<br><br>Besuche unsere Steam-Seite, um die Vollversion des Spiels zu kaufen, und teile dein Erlebnis mit Tausenden weiteren Spielern.","Esta demostración ofrece una muestra de la historia, y te guiará a través de los primeros pasos para asentar una pequeña colonia en el planeta rojo mientras te enfrentas a la inclemencia de su entorno.<br><br>Visita nuestra página de Steam para comprar la versión completa del juego y compartir tu experiencia con miles de jugadores.",Cette démo vous donnera un avant-goût de l'histoire et vous accompagnera le long des premières étapes de la création de votre petite colonie dans l'environnement hostile de la planète rouge.<br><br>Rendez-vous sur notre page Steam pour acheter la version complète du jeu et partagez votre expérience avec des milliers d'autres joueurs.,,このデモ版では、ストーリーの冒頭に触れつつ、過酷な火星環境に立ち向かいながら地表に小さなコロニーを建造する手順をご案内いたします。<br><br>Per AsperaのSteamページへ移動して製品版をご購入いただき、あなたのゲーム体験を数多くのプレイヤーにシェアしてください。,,"Esta demonstração dá uma palhinha da história, guiando você pelos primeiros passos da construção de sua própria colônia no planeta vermelho enquanto lida com as dificuldades do ambiente.<br><br>Acesse a nossa página na Steam para comprar a versão completa do jogo e compartilhe sua experiência com milhares de jogadores.","В демо-версии вы познакомитесь с сюжетом игры и сделаете первые шаги на пути к освоению Красной планеты, организовывая свою собственную марсианскую колонию.<br><br>Посетите нашу страничку в Steam, чтобы приобрести полную версию игры и поделиться своими впечатлениями с тысячами других игроков.",本试玩版将引导你在红色星球上迈出第一步，在对抗严酷环境的同时建设自己小小拓殖地，让你得以一品故事的滋味。<br><br>前往我们的 Steam 页面，购买游戏完整版，与千万名玩家分享你的体验吧。
TXT_MainMenu_Demo_Intro_Title,Frontend,Welcome to the Per Aspera Demo,,Willkommen bei der Demo von Per Aspera,Bienvenidos a la demostración de Per Aspera,Bienvenue dans la démo de Per Aspera,,Per Aspera デモ版へようこそ,,"Boas-vindas, esta é a demonstração de Per Aspera",Добро пожаловать в демо-версию Per Aspera,欢迎体验《繁星苦旅》试玩版
TXT_MainMenu_General,Frontend,GENERAL,,ALLGEMEIN,GENERAL,GÉNÉRAL,,一般,,GERAL,ОБЩИЕ,常      规
TXT_MainMenu_Video,Frontend,VIDEO,,GRAFIK,VIDEO,VIDÉO,,ビデオ,,VÍDEO,ГРАФИКА,图      像
TXT_MainMenu_Audio,Frontend,AUDIO,,SOUND,AUDIO,AUDIO,,オーディオ,,ÁUDIO,ЗВУК,声      音
TXT_MainMenu_Controls,Frontend,CONTROLS,,STEUERUNG,CONTROLES,COMMANDES,,操作,,CONTROLES,УПРАВЛЕНИЕ,操作键位
TXT_MainMenu_Options_Language,Frontend,LANGUAGE,,SPRACHE,IDIOMA,LANGUE,,言語,,IDIOMAS,ЯЗЫК,语      言
TXT_MainMenu_Options_English,Frontend,ENGLISH,,ENGLISCH,INGLÉS,ANGLAIS,,英語,,INGLÊS,АНГЛИЙСКИЙ,English
TXT_MainMenu_Options_Spanish,Frontend,SPANISH,,SPANISCH,ESPAÑOL,ESPAGNOL,,スペイン語,,ESPANHOL,ИСПАНСКИЙ,español
TXT_MainMenu_Options_French,Frontend,FRENCH,,FRANZÖSISCH,FRANCÉS,FRANÇAIS,,フランス語,,FRANCÊS,ФРАНЦУЗСКИЙ,français
TXT_MainMenu_Options_Russian,Frontend,RUSSIAN,,RUSSISCH,RUSO,RUSSE,,ロシア語,,RUSSO,РУССКИЙ,русский
TXT_MainMenu_Options_Japanese,Frontend,"JAPANESE ",,JAPANISCH,JAPONÉS,JAPONAIS,,日本語,,JAPONÊS,ЯПОНСКИЙ,日本語
TXT_MainMenu_Options_Chinese,Frontend,S. CHINESE,,V. CHINESISCH,CHINO SIMP.,CHINOIS SIMPLIFIÉ,,中国語（簡体字）,,CHINÊS S.,УПОЩ. КИТАЙСКИЙ,简体中文
TXT_MainMenu_Options_German,Frontend,GERMAN,,DEUTSCH,ALEMÁN,ALLEMAND,,ドイツ語,,ALEMÃO,НЕМЕЦКИЙ,Deutsch
TXT_MainMenu_Options_Portuguese,Frontend,PORTUGUESE,,PORTUGIESISCH,PORTUGUÉS,PORTUGAIS,,ポルトガル語,,PORTUGUÊS,ПОРТУГАЛЬСКИЙ,português
TXT_MainMenu_Options_Resolution,Frontend,RESOLUTION,,AUFLÖSUNG,RESOLUCIÓN,RÉSOLUTION,,解像度,,RESOLUÇÃO,РАЗРЕШЕНИЕ,分辨率
TXT_MainMenu_Options_Full_Screen,Frontend,FULL SCREEN,,VOLLBILD,PANTALLA COMPLETA,PLEIN ÉCRAN,,フルスクリーン,,TELA INTEIRA,ПОЛНОЭКРАННЫЙ РЕЖИМ,全屏
TXT_MainMenu_Options_Quality,Frontend,QUALITY,,QUALITÄT,CALIDAD,QUALITÉ,,品質,,QUALIDADE,КАЧЕСТВО,贴图品质
TXT_MainMenu_Options_Vsync,Frontend,VSYNC,,VSYNC,VSYNC,V-SYNCHRO,,垂直同期,,VSYNC,ВЕРТ. СИНХРОНИЗАЦИЯ,垂直同步
TXT_MainMenu_Options_Master,Frontend,MASTER VOLUME,,HAUPTLAUSTÄRKE,VOLUMEN GENERAL,VOLUME PRINCIPAL,,主音量,,VOLUME MESTRE,ОБЩАЯ ГРОМКОСТЬ,主音量
TXT_MainMenu_Options_Music,Frontend,MUSIC VOLUME,,MUSIKLAUTSTÄRKE,VOLUMEN DE LA MÚSICA,VOLUME DE LA MUSIQUE,,音楽の音量,,VOLUME DA MÚSICA,ГРОМКОСТЬ МУЗЫКИ,音乐音量
TXT_MainMenu_Options_SFX,Frontend,SFX VOLUME,,EFFEKTLAUTSTÄRKE,VOLUMEN DE LOS EFECTOS,VOLUME DES BRUITAGES,,効果音の音量,,VOLUME DE EFEITOS SONOROS,ГРОМКОСТЬ ЗВУКОВ,声效音量
TXT_MainMenu_Options_Voice,Frontend,VOICE VOLUME,,SPRACHLAUTSTÄRKE,VOLUMEN DE LA VOZ,VOLUME DES VOIX,,音声の音量,,VOLUME DA VOZ,ГРОМКОСТЬ ДИАЛОГОВ,人声音量
TXT_MainMenu_Options_AutoSaveDelay,Frontend,Autosave Delay,,Automatisches Speicherintervall,Frecuencia del Autoguardado,Délai de sauvegarde automatique,,オートセーブまでのディレイ時間,,Atraso de salvamento automático,Задержка автосохранения,自动存档延迟
TXT_MainMenu_Options_3DHUD,Frontend,Immersive HUD,,Immersives HUD,HUD Inmersivo,ATH immersif,,HUDの表示オフ,,HUD imersiva,Минималистичный интерфейс,沉浸式HUD
TXT_EveryYears,Frontend,Every {0} years,,Alle {0} Jahre,Cada {0} años,Tous les {0} ans,,{0}年ごと,,A cada {0} anos,Каждые {0} г./лет,每{0}年
TXT_Loading_Screen_Initializing,Frontend,INITIALIZING,,INITIALISIERE,INICIANDO,INITIALISATION,,初期化中,,INICIALIZANDO,ИНИЦИАЛИЗАЦИЯ,正在初始化
TXT_Loading_Screen_Loading_Configurations,Frontend,Loading configurations,,Lädt Konfigurationen,Cargando configuraciones,Configurations de chargement,,設定をロード中,,Carregando configurações,Загружаем конфигурации,正在加载配置
TXT_Loading_Screen_Loading_Universe,Frontend,Loading universe,,Lädt Universum,Cargando el universo,Chargement de l'univers,,宇宙をロード中,,Carregando universo,Загружаем вселенную,正在加载宇宙
TXT_Loading_Screen_Creating_Universe,Frontend,CREATING UNIVERSE,,ERSTELLE UNIVERSUM,CREANDO UNIVERSO,CRÉATION DE L'UNIVERS,,宇宙の生成中,,CRIANDO UNIVERSO,СОЗДАЕМ ВСЕЛЕННУЮ,正在创建宇宙
TXT_Loading_Screen_Creating_Visuals,Frontend,CREATING VISUALS,,ERSTELLE GRAFIKEN,CREANDO VISUALES,CRÉATION DES VISUELS,,ビジュアルの生成中,,CRIANDO VISUAIS,СОЗДАЕМ ВИЗУАЛЬНЫЕ ОБЪЕКТЫ,正在创建图像
TXT_Loading_Screen_World_Building,Frontend,WORLD BUILDING,,ERSTELLE WELT,CREANDO EL MUNDO,CONSTRUCTION DU MONDE,,世界の構築中,,CONSTRUINDO MUNDO,СТРОИМ МИР,正在建造世界
TXT_Control_Setting_Enter_Close,Frontend,Enter / Close,,Start / Schließen,Entrar / Salir,Entrer/Fermer,,実行/閉じる,,Entrar / Fechar,Войти / закрыть,开/关
TXT_Control_Setting_Open_Menu,Frontend,Pause Menu,,Pausenmenü,Menú,Menu de pause,,ポーズメニュー,,Menu de pausa,Меню паузы,暂停菜单
TXT_Control_Setting_Traffic_Lens,Frontend,Traffic Lens,,Verkehrsansicht,Lente de Tráfico,Vue du trafic,,交通レンズ,,Visão de tráfego,Перевозки,交通视图
TXT_Control_Setting_Power_Lens,Frontend,Power Lens,,Energieansicht,Lente de Energía,Vue de la puissance,,電力レンズ,,Visão de energia,Энергоснабжение,供能视图
TXT_Control_Setting_Maintenance_Lens,Frontend,Maintenance Lens,,Wartungsansicht,Lente de Mantenimiento,Vue de maintenance,,メンテナンス視点,,Visão de manutenção,Ремонт,维保视图
TXT_Control_Setting_Scanner_Lens,Frontend,Scanner Lens,,Scanneransicht,Lente de Escáner,Vue du scanner,,スキャナー視点,,Visão de escâner,Сканер,勘探视图
TXT_Control_Setting_Climate_Lens,Frontend,Climate Lens,,Klimaansicht,Lente de Clima,Vue du climat,,天候視点,,Visão de clima,Климат,气候视图
TXT_Control_Setting_Combat_Lens,Frontend,Combat Lens,,Kampfansicht,Lente de Combate,Vue de combat,,戦闘視点,,Visão de combate,Бой,作战视图
TXT_Control_Setting_District_Lens,Frontend,District Lens,,Distriktansicht,Lente de Distritos,Vue du district,,地区視点,,Visão de distrito,Районы,地区视图
TXT_Control_Setting_Pipes_Lens,Frontend,Water Lens,,Wasseransicht,Lente de Agua,Lentille du système d'alimentation en eau,,配水視点,,Visão de água,Вода,供水视图
TXT_Control_Setting_Orbital_View,Frontend,Orbital View,,Orbitalsicht,Vista Orbital,Vue orbitale,,軌道上視点,,Visão orbital,Вид с орбиты,轨道视域
TXT_Control_Setting_Tech_Tree,Frontend,Tech Tree,,Technologiebaum,Árbol de Tecnologías,Arborescence technologique,,テックツリー,,Árvore de tecnologias,Дерево исследований,科技树
TXT_Control_Setting_Knowledge_Base,Frontend,Knowledge Base,,Wissensdatenbank,Base de Datos,Base de connaissances.,,ナレッジベース,,Base de conhecimento,База знаний,知识库
TXT_Control_Setting_Speed_Down,Frontend,Decrease Speed,,Geschwindigkeit verringern,Disminuir la Velocidad,Réduire la vitesse,,スピード低下,,Reduzir velocidade,Замедлить,减速
TXT_Control_Setting_Speed_Up,Frontend,Increase Speed,,Geschwindigkeit erhöhen,Aumentar la Velocidad,Augmenter la vitesse,,スピード上昇,,Aumentar velocidade,Ускорить,提速
TXT_Control_Setting_Increase_Decrease,Frontend,Increase / Decrease Speed,,Tempo erhöhen / verringern,Aumentar o Disminuir la Velocidad,Augmenter/Réduire la vitesse,,スピード上昇/低下,,Aumentar / Reduzir velocidade,Ускорить / замедлить,提速/减速
TXT_Control_Setting_Toggle_Pause,Frontend,Toggle Pause,,Pause an/aus,"Pausar o Reanudar ",Pause/reprise,,ポーズ切り替え,,Pausar/Continuar,Пауза,暂停
TXT_Control_Setting_Speed_0,Frontend,0x,,0x,0x,x0,,0x,,0x,0x,0倍速
TXT_Control_Setting_Speed_1,Frontend,1x,,1x,1x,x1,,1x,,1x,1x,1倍速
TXT_Control_Setting_Speed_2,Frontend,2x,,2x,2x,x2,,2x,,2x,2x,2倍速
TXT_Control_Setting_Speed_3,Frontend,4x,,4x,4x,x4,,4x,,4x,4x,4倍速
TXT_Control_Setting_Speed_4,Frontend,8x,,8x,8x,x8,,8x,,8x,8x,8倍速
TXT_Control_Setting_Speed_5,Frontend,16x,,16x,16x,x16,,16x,,16x,16x,16倍速
TXT_Control_Setting_Increase_Button,Frontend,Increase,,Erhöhen,Aumentar,Augmenter,,上昇,,Aumentar,Увеличить,提速
TXT_Control_Setting_Decrease_Button,Frontend,Decrease,,Verringern,Disminuir,Réduire,,低下,,Reduzir,Уменьшить,减速
TXT_Control_Setting_Zoom_Out,Frontend,Zoom Out,,Herauszoomen,Alejar,Dézoomer,,ズームアウト,,- Zoom,Отдалить,视角拉远
TXT_Control_Setting_Zoom_In,Frontend,Zoom In,,Hereinzoomen,Acercar,Zoomer,,ズームイン,,+ Zoom,Приблизить,视角推近
TXT_Control_Setting_Move_Camera,Frontend,Move Camera,,Kamera bewegen,Mover Cámara,Déplacer la caméra,,カメラの移動,,Mover câmera,Переместить камеру,移动视角
TXT_Control_Setting_Move_Up,Frontend,Move Camera Up,,Kamera nach oben,Mover Cámara Hacia Arriba,Caméra vers le haut,,カメラ上移動,,Mover câmera p/ cima,Поднять камеру,向上移动视角
TXT_Control_Setting_Move_Down,Frontend,Move Camera Down,,Kamera nach unten,Mover Cámara Hacia Abajo,Caméra vers le bas,,カメラ下移動,,Mover câmera p/ baixo,Опустить камеру,向下移动视角
TXT_Control_Setting_Move_Left,Frontend,Move Camera Left,,Kamera nach links,Mover Cámara a la Izquierda,Caméra vers la gauche,,カメラ左移動,,Mover câmera p/ esquerda,Переместить камеру влево,向左移动视角
TXT_Control_Setting_Move_Right,Frontend,Move Camera Right,,Kamera nach rechts,Mover Cámara a la Derecha,Caméra vers la droite,,カメラ右移動,,Mover câmera p/ direita,Переместить камеру вправо,向右移动视角
TXT_Control_Setting_Multiple_Buildings_Placement,Frontend,Multiple Buildings Placement,,Platzierung mehrerer Gebäude,Construcción de Múltiples Edificios,Placement de plusieurs bâtiments,,施設の複数箇所配置,,Posicionamento de várias estruturas,Многократное размещение зданий,多座建筑同时选址
TXT_Control_Setting_Multiple_Buildings_Selection,Frontend,Multiple Buildings Selection,,Auswahl mehrerer Gebäude,Selección de Múltiples Edificios,Sélection de plusieurs bâtiments,,複数の施設選択,,Seleção múltipla de estruturas,Режим выделения нескольких зданий,建筑批量选中
TXT_Control_Setting_Additive_Buildings_Selection,Frontend,Additive Building Selection,,Auswahl zusätzlicher Gebäude,Selección Adicional de Edificios,Sélection de bâtiment pour ajout,,追加の施設選択,,Seleção aditiva de estruturas,Добавлять здания к выделенным,建筑添加选中
TXT_Control_Setting_Additive_Swarm_Selection,Frontend,Additive Swarm Selection,,Auswahl zusätzlicher Schwärme,Selección Adicional de Enjambres,Sélection d'essaim pour ajout,,追加のドローン集団選択,,Seleção aditiva de enxames,Добавлять рои к выделенным,集群添加选中
TXT_Control_Setting_Focus_Selected,Frontend,Focus On Selected,,Auf Auswahl fokussieren,Centrarse En La Selección,Focaliser sur la sélection,,選択箇所に画面をあわせる,,Foco na seleção,Перейти к объекту,关注于所选选项
TXT_Control_Setting_Multiple_Swarm_Selection,Frontend,Multiple Swarm Selection,,Auswahl mehrerer Schwärme,Selección de Múltiples Enjambres,Sélection d'essaims multiples,,複数のドローン集団選択,,Seleção múltipla de enxames,Режим выделения нескольких роев,同时选择多个集群
TXT_Control_Setting_Split_Swarm,Frontend,Split Swarm,,Geteilter Schwarm,División del Enjambre,Scinder l'essaim,,ドローン集団を分割,,Dividir enxame,Разделить рой,无人机分群
TXT_Control_Setting_Center_Camera,Frontend,Center camera on Landing Site,,Kamera über Landeplatz zentrieren,Centrar la Cámara en el Módulo De Aterrizaje,Centrer la caméra sur le site d'atterrissage,,発着場をカメラの中央に合わせる,,Centralizar câmera no local de pouso,Навести на посадочный модуль.,将着陆点置于视野中央
TXT_Control_Setting_Reset_Tilt,Frontend,Reset Camera Tilt,,Kameraneigung zurücksetzen,Restablecer la Inclinación de la Cámara,Réinitialiser l'inclinaison de la caméra,,カメラの傾きをリセット,,Redefinir inclinação da câmera,Сбросить наклон камеры,重置视角倾角
TXT_Control_Setting_ShowIcons,Frontend,Show Icons,,Symbole anzeigen,Mostrar Íconos,Afficher les icônes,,アイコンの表示,,Mostrar ícones,Показывать иконки,显示图标
TXT_Control_Setting_Group_General,Frontend,General,,Allgemein,General,Général,,一般,,Geral,Общие,常 规
TXT_Control_Setting_Group_TimeControl,Frontend,Time Control,,Zeitsteuerung,Control del Tiempo,Contrôle du temps,,時間操作,,Controle de tempo,Скорость течения времени,时间管理
TXT_Control_Setting_Group_Lenses,Frontend,Lenses,,Ansichten,Lentes,Vues,,レンズ,,Visões,Режимы,视 图
TXT_Control_Setting_Group_Camera,Frontend,Camera,,Kamera,Cámara,Caméra,,カメラ,,Câmera,Камера,视 角
TXT_Control_Setting_Group_BuildingPlacement,Frontend,Building Placement,,Gebäudeplatzierung,Construcción de Edificios,Placement de bâtiment,,施設配置,,Posicionamento de estruturas,Размещение построек,建筑选址
TXT_Control_Setting_Group_BuildingSelection,Frontend,Building Selection,,Gebäudeauswahl,Selección de Edificios,Sélection de bâtiment,,施設選択,,Seleção de estruturas,Выделение построек,建筑选中
TXT_Control_Setting_Group_SwarmControl,Frontend,Swarm Control,,Schwarmsteuerung,Control de los Enjambres,Contrôle de l'essaim,,ドローン集団の操作,,Controle de enxames,Управление роями,集群管控
TXT_Control_Setting_Mouse_Move,Frontend,Move [Hold],,Bewegen [Halten],Mover [Apretar],Déplacer [maintenir],,移動[長押し],,Mover [Segurar],Переместиться [удержанием],移动[按住]
TXT_Control_Setting_Mouse_Select,Frontend,Select [Click],,Auswählen [Klicken],Seleccionar [Cliquear],Sélectionner [cliquer],,選択[クリック],,Selecionar [Clicar],Выбрать [нажатием],选择[点击]
TXT_Control_Setting_Mouse_Rotate,Frontend,Rotate [Hold],,Drehen [Halten],Rotar [Apretar],Faire pivoter [maintenir],,回転[長押し],,Girar [Segurar],Повернуть [удержанием],旋转[按住]
TXT_Control_Setting_Mouse_Deselect,Frontend,Deselect [Click],,Abwählen [Klicken],Deseleccionar [Cliquear],Désélectionner [cliquer],,選択解除[クリック],,Desselecionar [Clicar],Снять выделение [нажатием],取消选择[点击]
TXT_Control_Setting_Mouse_Zoom,Frontend,Zoom In / Out [Scroll],,Herein-/Herauszoomen [Scrollen],Acercar / Alejar [Deslizar],Zoomer/Dézoomer [molette],,ズームイン/アウト[スクロール],,Zoom [Roda],Приблизить / отдалить [колёсиком],视角推近/拉远[滑动滑鼠]
TXT_Control_Setting_KeyBinding_Title,Frontend,Key Assignment,,Tastenbelegung,Asignación de Tecla,Assignation des touches,,キー割り当て,,Atribuição de tecla,Назначение клавиш,键位分配
TXT_Control_Setting_KeyBinding_NewKey,Frontend,Press the key you want to assign to this action. Or Remove to assign none.,,"Drücke die Taste, die du dieser Aktion zuweisen möchtest. Oder wähle „Entfernen“, um keine zuzuweisen.",Presiona la tecla que deseas asignar a esta acción. O Remover para dejarla sin asignar.,Appuyer sur la touche à laquelle vous souhaitez assigner cette action. Ou sélectionnez Supprimer pour n'assigner aucune action à cette touche.,,このアクションに割り当てたいキーを押すか、ボタン無効を設定してください。,,Pressione a tecla que quer atribuir para esta ação. Ou Remover para não atribuir nenhuma.,"Нажмите любую клавишу, которую хотите назначить на данное действие, либо нажмите «Убрать», чтобы отменить назначение.",这个操作需要哪个按键，就按下哪个按键。也可以删除按键，不给这个操作分配按键。
TXT_Control_Setting_KeyBinding_ReassignKey,Frontend,This key is already assigned to another action. Are you sure you want to re-assign it?,,Diese Taste ist bereits einer anderen Aktion zugewiesen. Möchtest du sie wirklich neu zuweisen?,Esta tecla está asignada a otra acción. ¿Deseas reasignarla?,Une autre action a déjà été assignée à cette touche. Voulez-vous vraiment modifier cette assignation ?,,このキーは他のアクションに割り当てられています。こちらのアクションに割り当てますか？,,Esta tecla já está atribuída a outra ação. Tem certeza de que deseja modificá-la?,Эта клавиша уже назначена на другое действие. Хотите её переназначить?,这个按键已经分配了其他操作，确定重新分配这一按键的操作吗？
TXT_Control_Setting_KeyBinding_NotAssignable,Frontend,"Sorry! This key is being used for another action, and it can't be re-assigned to a new one.",,"Tut uns leid, aber diese Taste wird bereits für eine andere Aktion verwendet und kann keiner neuen Aktion zugewiesen werden.",¡Lo siento! Esta tecla está en uso y no puede reasignarse a una nueva acción.,"Désolé ! Cette touche est déjà utilisée pour une autre action, et il n'est pas possible de modifier son assignation.",,このキーは他のアクションに割り当てられており、こちらのアクションに割り当てられません。,,Desculpe! Esta tecla está sendo usada em outra ação e não pode ser reatribuída.,"Простите, но эта клавиша уже назначена на другое действие и не может быть переназначена.",抱歉！这个按键已经分配了其他操作，不能重新分配给其他操作。
TXT_MainMenu_Title,Frontend,Pause,,Pause,Pausa,Pause,,ポーズ,,Pausar,Пауза,暂 停
TXT_MainMenu_Quit_Game,Frontend,Quit Game,,Spiel verlassen,Salir del Juego,Quitter la partie,,ゲーム終了,,Sair do jogo,Выйти из игры,退出游戏
TXT_MainMenu_Quit_Game_Warning,Frontend,"Note that if you have a saved game, saving will overwrite it.",,"Bitte beachte, dass ein vorhandener Spielstand durch Speichern überschrieben wird.","Ten en cuenta que si tienes una partida guardada, guardar la sobrescribirá.","Notez que, si vous avez une sauvegarde, le fait de sauvegarder l'écrasera.",,セーブデータがある場合、セーブを行うとデータが上書きされますのでご注意ください。,,"Salvar vai sobrescrever o seu jogo salvo, caso exista.","Имейте в виду: если у вас уже есть файл памяти, он будет перезаписан.",注意：如果游戏已有存档，保存当前进度将覆盖存档的进度。
TXT_MainMenu_Save_Game,Frontend,Save Memory,,Spielstand speichern,Guardar Memoria,Sauvegarder le souvenir,,セーブデータ,,Salvar memória,Сохранить файл памяти,保存记忆
TXT_MainMenu_Save_Game_Delete,Frontend,Delete memory file,,Spielstand löschen,Borrar Memoria,Supprimer le fichier de souvenir,,セーブデータの削除,,Excluir arquivo de memória,Удалить файл памяти,删除记忆文档
TXT_MainMenu_Save_Game_Delete_Warning,Frontend,Do you really want to delete this memory?,,Möchtest du diesen Spielstand wirklich löschen?,¿Realmente quieres borrar esta memoria?,Voulez-vous vraiment supprimer ce souvenir ?,,このデータを本当に削除しますか？,,Deseja mesmo excluir esta memória?,"Вы уверены, что хотите удалить этот файл памяти?",确定删除这个记忆？
